# EPICS_data column  ->  Don's SQL type
#
# Tab-separated. Skip blank lines and lines starting with #.
# Source: MolPol-FADC-Web docker/init/01_schema.sql (Don's EPICS_data paste).
# Live schema is Don's; if a type drifts, trust INFORMATION_SCHEMA on hamoller.
#
# column_name	sql_type

# --- Accelerator & Beam Energy ---
epics_E_beam	FLOAT(10,5)
epics_E_inj	FLOAT(10,5)
epics_E_Slinac	FLOAT(10,5)
epics_E_Nlinac	FLOAT(10,5)
epics_n_pass	VARCHAR(255)

# --- Beam Current Monitors (BCMs) & Unsers ---
epics_bcm_avg	FLOAT(10,7)
epics_unser	FLOAT(10,7)
epics_bcm_us	FLOAT(10,7)
epics_bcm_ds	FLOAT(10,7)
epics_inj_bcm_tot	FLOAT(10,7)
epics_bcm_a1_coeff	FLOAT(10,5)
epics_bcm_a2_coeff	FLOAT(10,5)
epics_inj_bcm_halla	FLOAT(10,7)

# --- Beam Position Monitors (BPMs) ---
epics_bpm01_X	FLOAT(10,8)
epics_bpm01_Y	FLOAT(10,8)
epics_bpm04_X	FLOAT(10,8)
epics_bpm04_Y	FLOAT(10,8)
epics_bpm04a_X	FLOAT(10,8)
epics_bpm04a_Y	FLOAT(10,8)
epics_bpm02a_X	FLOAT(10,8)
epics_bpm02a_Y	FLOAT(10,8)

# --- Beamline Magnets ---
epics_q1_cur	FLOAT(10,5)
epics_q2_cur	FLOAT(10,5)
epics_q3_cur	FLOAT(10,5)
epics_q4_cur	FLOAT(10,5)
epics_dip_cur	FLOAT(10,5)
epics_mcz1h0v_cur	FLOAT(10,5)

# --- Target System ---
epics_tgt_angle	FLOAT(10,5)
epics_tgt_rot_neglimit	TINYINT(1)
epics_tgt_rot_poslimit	TINYINT(1)
epics_tgt_rot_athome	TINYINT(1)
epics_tgt_angle_deg	FLOAT(10,5)
epics_tgt_lin_pos	FLOAT(10,5)
epics_tgt_lin_hlimit	TINYINT(1)
epics_tgt_lin_llmit	TINYINT(1)
epics_tgt_lin_athome	TINYINT(1)
epics_tgt_lin_pos_mm	FLOAT(10,5)

# --- Injector Laser & Slits ---
epics_las_mode_halla	VARCHAR(255)
epics_las_mode_hallb	VARCHAR(255)
epics_las_mode_hallc	VARCHAR(255)
epics_las_mode_halld	VARCHAR(255)
epics_las_pow_halla	FLOAT(10,5)
epics_las_pow_hallb	FLOAT(10,5)
epics_las_pow_hallc	FLOAT(10,5)
epics_las_pow_halld	FLOAT(10,5)
epics_las_attn_halla	FLOAT(10,5)
epics_las_attn_hallb	FLOAT(10,5)
epics_las_attn_hallc	FLOAT(10,5)
epics_las_attn_halld	FLOAT(10,5)
epics_slit_halla	FLOAT(10,5)
epics_slit_hallb	FLOAT(10,5)
epics_slit_hallc	FLOAT(10,5)
epics_slit_halld	FLOAT(10,5)
epics_pockels_v1	FLOAT(10,5)
epics_pockels_v2	FLOAT(10,5)
epics_las_a_rf_phase	FLOAT(10,5)
epics_las_a_src_cur	FLOAT(10,5)

# --- Polarization & Wien Filters / Waveplates ---
epics_ihwp	VARCHAR(16)
epics_rhwp	FLOAT(10,5)
epics_vwien_bdl	FLOAT(10,5)
epics_vwien_field	FLOAT(10,5)
epics_vwien_angle	FLOAT(10,5)
epics_sol_a_bdl	FLOAT(10,5)
epics_sol_a_field	FLOAT(10,5)
epics_sol_b_bdl	FLOAT(10,5)
epics_sol_b_field	FLOAT(10,5)
epics_sol_phi_fg	FLOAT(10,5)
epics_hwien_bdl	FLOAT(10,5)
epics_hwien_field	FLOAT(10,5)
epics_hwien_angle	FLOAT(10,5)

# --- Helicity Board Settings ---
epics_hel_pattern	VARCHAR(255)
epics_hel_freq	DECIMAL(12,8)
epics_hel_delay	VARCHAR(255)
epics_t_settle	FLOAT(10,5)
epics_t_stable	FLOAT(10,5)

# --- Superconducting Solenoid Magnet ---
epics_mol_pow_sup_cur	FLOAT(10,5)
epics_mol_mag_cur_set	FLOAT(10,5)
epics_mol_mag_htr_ctrl	FLOAT(10,5)
epics_mol_mag_cur_meas	FLOAT(10,5)
epics_mol_mag_v_meas	FLOAT(10,5)
epics_mol_mag_field_meas	FLOAT(10,5)
epics_mol_mag_ramp_state	FLOAT(10,5)
epics_mol_cooler_temp	FLOAT(10,5)
epics_mol_mag_T2temp	FLOAT(10,5)
epics_mol_mag_lead1_temp	FLOAT(10,5)
epics_mol_mag_lead2_temp	FLOAT(10,5)
epics_mol_ext_gaussmeter	FLOAT(10,5)

# --- Cryomech Compressor System ---
epics_cryo_comp_op_time	FLOAT(10,5)
epics_cryo_water_in_temp	FLOAT(10,5)
epics_cryo_water_out_temp	FLOAT(10,5)
epics_cryo_press_high	FLOAT(10,5)
epics_cryo_press_low	FLOAT(10,5)

# --- Detector High Voltage Readbacks ---
epics_det_hv_ch1	FLOAT(10,5)
epics_det_hv_ch2	FLOAT(10,5)
epics_det_hv_ch3	FLOAT(10,5)
epics_det_hv_ch4	FLOAT(10,5)
epics_det_hv_ch5	FLOAT(10,5)
epics_det_hv_ch6	FLOAT(10,5)
epics_det_hv_ch7	FLOAT(10,5)
epics_det_hv_ch8	FLOAT(10,5)
